"variable","countryname","countrycode","year","value"
"Land area where elevation is below 5 meters (% of total land area)","Afghanistan","AFG","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Albania","ALB","yr1990","4.967875"
"Land area where elevation is below 5 meters (% of total land area)","Algeria","DZA","yr1990","0.3513818"
"Land area where elevation is below 5 meters (% of total land area)","American Samoa","ASM","yr1990","17.89262"
"Land area where elevation is below 5 meters (% of total land area)","Andorra","ADO","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Angola","AGO","yr1990","0.2082346"
"Land area where elevation is below 5 meters (% of total land area)","Antigua and Barbuda","ATG","yr1990","32.42317"
"Land area where elevation is below 5 meters (% of total land area)","Argentina","ARG","yr1990","1.230535"
"Land area where elevation is below 5 meters (% of total land area)","Armenia","ARM","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Aruba","ABW","yr1990","29.57481"
"Land area where elevation is below 5 meters (% of total land area)","Australia","AUS","yr1990","1.141535"
"Land area where elevation is below 5 meters (% of total land area)","Austria","AUT","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Azerbaijan","AZE","yr1990","19.96988"
"Land area where elevation is below 5 meters (% of total land area)","Bahamas, The","BHS","yr1990","71.98609"
"Land area where elevation is below 5 meters (% of total land area)","Bahrain","BHR","yr1990","39.03492"
"Land area where elevation is below 5 meters (% of total land area)","Bangladesh","BGD","yr1990","14.06936"
"Land area where elevation is below 5 meters (% of total land area)","Barbados","BRB","yr1990","15.69373"
"Land area where elevation is below 5 meters (% of total land area)","Belarus","BLR","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Belgium","BEL","yr1990","9.242276"
"Land area where elevation is below 5 meters (% of total land area)","Belize","BLZ","yr1990","9.454244"
"Land area where elevation is below 5 meters (% of total land area)","Benin","BEN","yr1990","1.155602"
"Land area where elevation is below 5 meters (% of total land area)","Bermuda","BMU","yr1990","82.26367"
"Land area where elevation is below 5 meters (% of total land area)","Bhutan","BTN","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Bolivia","BOL","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Bosnia and Herzegovina","BIH","yr1990","0.07322166"
"Land area where elevation is below 5 meters (% of total land area)","Botswana","BWA","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Brazil","BRA","yr1990","1.212341"
"Land area where elevation is below 5 meters (% of total land area)","Brunei Darussalam","BRN","yr1990","3.335603"
"Land area where elevation is below 5 meters (% of total land area)","Bulgaria","BGR","yr1990","0.4296998"
"Land area where elevation is below 5 meters (% of total land area)","Burkina Faso","BFA","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Burundi","BDI","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Cabo Verde","CPV","yr1990","14.51925"
"Land area where elevation is below 5 meters (% of total land area)","Cambodia","KHM","yr1990","3.842303"
"Land area where elevation is below 5 meters (% of total land area)","Cameroon","CMR","yr1990","0.08356156"
"Land area where elevation is below 5 meters (% of total land area)","Canada","CAN","yr1990","2.393023"
"Land area where elevation is below 5 meters (% of total land area)","Cayman Islands","CYM","yr1990","60.28383"
"Land area where elevation is below 5 meters (% of total land area)","Central African Republic","CAF","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Chad","TCD","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Channel Islands","CHI","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Chile","CHL","yr1990","3.080679"
"Land area where elevation is below 5 meters (% of total land area)","China","CHN","yr1990","1.382015"
"Land area where elevation is below 5 meters (% of total land area)","Colombia","COL","yr1990","0.9430991"
"Land area where elevation is below 5 meters (% of total land area)","Comoros","COM","yr1990","13.46283"
"Land area where elevation is below 5 meters (% of total land area)","Congo, Dem. Rep.","ZAR","yr1990","0.01547777"
"Land area where elevation is below 5 meters (% of total land area)","Congo, Rep.","COG","yr1990","0.05497334"
"Land area where elevation is below 5 meters (% of total land area)","Costa Rica","CRI","yr1990","2.116565"
"Land area where elevation is below 5 meters (% of total land area)","Cote d'Ivoire","CIV","yr1990","0.192768"
"Land area where elevation is below 5 meters (% of total land area)","Croatia","HRV","yr1990","3.030254"
"Land area where elevation is below 5 meters (% of total land area)","Cuba","CUB","yr1990","12.66866"
"Land area where elevation is below 5 meters (% of total land area)","Curacao","CUW","yr1990",".."
"Land area where elevation is below 5 meters (% of total land area)","Cyprus","CYP","yr1990","6.421041"
"Land area where elevation is below 5 meters (% of total land area)","Czech Republic","CZE","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Denmark","DNK","yr1990","17.66819"
"Land area where elevation is below 5 meters (% of total land area)","Djibouti","DJI","yr1990","2.564216"
"Land area where elevation is below 5 meters (% of total land area)","Dominica","DMA","yr1990","9.404154"
"Land area where elevation is below 5 meters (% of total land area)","Dominican Republic","DOM","yr1990","4.139139"
"Land area where elevation is below 5 meters (% of total land area)","Ecuador","ECU","yr1990","2.036756"
"Land area where elevation is below 5 meters (% of total land area)","Egypt, Arab Rep.","EGY","yr1990","4.048382"
"Land area where elevation is below 5 meters (% of total land area)","El Salvador","SLV","yr1990","2.452742"
"Land area where elevation is below 5 meters (% of total land area)","Equatorial Guinea","GNQ","yr1990","0.9218137"
"Land area where elevation is below 5 meters (% of total land area)","Eritrea","ERI","yr1990","3.119232"
"Land area where elevation is below 5 meters (% of total land area)","Estonia","EST","yr1990","3.354928"
"Land area where elevation is below 5 meters (% of total land area)","Ethiopia","ETH","yr1990","0.6725273"
"Land area where elevation is below 5 meters (% of total land area)","Faeroe Islands","FRO","yr1990","14.54897"
"Land area where elevation is below 5 meters (% of total land area)","Fiji","FJI","yr1990","11.35986"
"Land area where elevation is below 5 meters (% of total land area)","Finland","FIN","yr1990","1.108274"
"Land area where elevation is below 5 meters (% of total land area)","France","FRA","yr1990","2.067913"
"Land area where elevation is below 5 meters (% of total land area)","French Polynesia","PYF","yr1990","37.59521"
"Land area where elevation is below 5 meters (% of total land area)","Gabon","GAB","yr1990","0.5366168"
"Land area where elevation is below 5 meters (% of total land area)","Gambia, The","GMB","yr1990","16.58088"
"Land area where elevation is below 5 meters (% of total land area)","Georgia","GEO","yr1990","1.427602"
"Land area where elevation is below 5 meters (% of total land area)","Germany","DEU","yr1990","4.917982"
"Land area where elevation is below 5 meters (% of total land area)","Ghana","GHA","yr1990","0.7665069"
"Land area where elevation is below 5 meters (% of total land area)","Greece","GRC","yr1990","6.334259"
"Land area where elevation is below 5 meters (% of total land area)","Greenland","GRL","yr1990","16.26579"
"Land area where elevation is below 5 meters (% of total land area)","Grenada","GRD","yr1990","21.74677"
"Land area where elevation is below 5 meters (% of total land area)","Guam","GUM","yr1990","20.38489"
"Land area where elevation is below 5 meters (% of total land area)","Guatemala","GTM","yr1990","0.5609614"
"Land area where elevation is below 5 meters (% of total land area)","Guinea","GIN","yr1990","1.050092"
"Land area where elevation is below 5 meters (% of total land area)","Guinea-Bissau","GNB","yr1990","9.497562"
"Land area where elevation is below 5 meters (% of total land area)","Guyana","GUY","yr1990","2.715692"
"Land area where elevation is below 5 meters (% of total land area)","Haiti","HTI","yr1990","3.940334"
"Land area where elevation is below 5 meters (% of total land area)","Honduras","HND","yr1990","3.043469"
"Land area where elevation is below 5 meters (% of total land area)","Hong Kong SAR, China","HKG","yr1990","24.57421"
"Land area where elevation is below 5 meters (% of total land area)","Hungary","HUN","yr1990","0"
"Land area where elevation is below 5 meters (% of total land area)","Iceland","ISL","yr1990","4.41256"
"Land area where elevation is below 5 meters (% of total land area)","India","IND","yr1990","1.353457"
"Land area where elevation is below 5 meters (% of total land area)","Indonesia","IDN","yr1990","5.497674"
"Land area where elevation is below 5 meters (% of total land area)","Iran, Islamic Rep.","IRN","yr1990","1.593336"
"Land area where elevation is below 5 meters (% of total land area)","Iraq","IRQ","yr1990","4.024576"
"Land area where elevation is below 5 meters (% of total land area)","Ireland","IRL","yr1990","3.958941"
"Land area where elevation is below 5 meters (% of total land area)","Isle of Man","IMY","yr1990","12.08876"
"Land area where elevation is below 5 meters (% of total land area)","Israel","ISR","yr1990","7.823743"
"Land area where elevation is below 5 meters (% of total land area)","Italy","ITA","yr1990","5.188644"
"Land area where elevation is below 5 meters (% of total land area)","Jamaica","JAM","yr1990","7.141161"
"Land area where elevation is below 5 meters (% of total land area)","Japan","JPN","yr1990","5.883866"
"Land area where elevation is below 5 meters (% of total land area)","Jordan","JOR","yr1990","2.007511"
"Land area where elevation is below 5 meters (% of total land area)","Kazakhstan","KAZ","yr1990","6.678062"
"Land area where elevation is below 5 meters (% of total land area)","Kenya","KEN","yr1990","0.2394978"
"Land area where elevation is below 5 meters (% of total land area)","Kiribati","KIR","yr1990","96.66959"
"Land area where elevation is below 5 meters (% of total land area)","Korea, Dem. Rep.","PRK","yr1990","2.420686"
"Land area where elevation is below 5 meters (% of total land area)","Korea, Rep.","KOR","yr1990","4.301836"
